Название района;Назва району;Город;Область;Тип
Петропавловка;Петропавлівка;Шахтарск;Донецкая;Село
Пискуновка;Пискунівка;Славянск;Донецкая;Село
Плещеевка;Плещіївка;Константиновка;Донецкая;Село
Площадь Бакинских Комиссаров;Площа Бакинських Комісарів;Донецк;Донецкая;Район
Площадь Свободы;Площа Свободи;Донецк;Донецкая;Район
Победа;Победа;Старобешево;Донецкая;Село
Поддубное;Піддубне;Великая Новоселка;Донецкая;Село
Покровское;Покровське;Артемовск;Донецкая;Село
Полтавка;Полтавка;Константиновка;Донецкая;Село
Портовское;Портівське;Мангуш;Донецкая;Село
Поселок Северный;Селище Північне;Донецк;Донецкая;Район
Правдовка;Правдівка;Константиновка;Донецкая;Село
Предтечино;Предтечине;Константиновка;Донецкая;Село
Прелесное;Прелесне;Славянск;Донецкая;Село
Пречистовка;Пречистівка;Марьинка;Донецкая;Село
Приазовское;Приазовське;Мангуш;Донецкая;Село
Привокзальный;Привокзальний;Донецк;Донецкая;Район
Приволье;Привілля;Славянск;Донецкая;Село
Привольное;Привільне;Великая Новоселка;Донецкая;Село
Привольное;Привільне;Волноваха;Донецкая;Село
Придорожное;Придорожнє;Старобешево;Донецкая;Село
Приморское;Приморське;Новоазовск;Донецкая;Село
Приморський;Приморский;Мариуполь;Донецкая;Район
Пришиб;Пришиб;Славянск;Донецкая;Село
Пролетарский;Пролетарський;Донецк;Донецкая;Район
Пролетарское;Пролетарське;Макеевка;Донецкая;Село
Прохоровка;Прохорівка;Волноваха;Донецкая;Село
Птичье;Птиче;Красноармейск;Донецкая;Село
Путиловка;Путилівка;Донецк;Донецкая;Район
Раздольное;Роздольне;Великая Новоселка;Донецкая;Село
Раздольное;Роздольне;Старобешево;Донецкая;Село
Рай-Александровка;Рай-Олександрівка;Славянск;Донецкая;Село
Райгородок;Райгородок;Славянск;Донецкая;Село
Райское;Райське;Дружковка;Донецкая;Село
Рассыпное;Розсипне;Торез;Донецкая;Село
Рассыпное;Розсипне;Шахтарск;Донецкая;Село
Редкодуб;Рідкодуб;Красный Лиман;Донецкая;Село
Резниковка;Різниківка;Артемовск;Донецкая;Село
Республика;Республіка;Володарское;Донецкая;Село
Ровнополь;Рівнопіль;Волноваха;Донецкая;Село
Родинское;Родинське;Красноармейск;Донецкая;Село
Родники;Родники;Амвросиевка;Донецкая;Село
Родниковое;Родникове;Старобешево;Донецкая;Село
Роздолевка;Роздолівка;Артемовск;Донецкая;Село
Розлив;Розлив;Великая Новоселка;Донецкая;Село
Розовка;Розівка;Тельманово;Донецкая;Село
Розовка;Розівка;Шахтарск;Донецкая;Село
Розовка;Розівка;Ясиноватая;Донецкая;Село
Розы Люксембург;Рози Люксембург;Доброполье;Донецкая;Село
Розы Люксембург;Рози Люксембург;Новоазовск;Донецкая;Село
Рубцы;Рубці;Красный Лиман;Донецкая;Село
Русин Яр;Русин Яр;Константиновка;Донецкая;Село
Рыбинское;Рибинське;Волноваха;Донецкая;Село
Савеловка;Савелівка;Енакиево;Донецкая;Село
Садовое;Садове;Шахтарск;Донецкая;Село
Самарское;Самарське;Александровка;Донецкая;Село
Самойлово;Самійлове;Новоазовск;Донецкая;Село
Самсоново;Самсоново;Новоазовск;Донецкая;Село
Сартана;Сартана;Мариуполь;Донецкая;Село
Саханка;Саханка;Новоазовск;Донецкая;Село
Свердлово;Свердлове;Макеевка;Донецкая;Село
Светлодарское;Світлодарське;Дебальцево;Донецкая;Село
Светлое;Світле;Доброполье;Донецкая;Село
Свободное;Свободне;Волноваха;Донецкая;Село
Свободное;Свободне;Тельманово;Донецкая;Село
Святогоровка;Святогорівка;Доброполье;Донецкая;Село
Святогорск;Святогірськ;Славянск;Донецкая;Село
Северное;Сєверне;Снежное;Донецкая;Село
Северное;Північне;Ясиноватая;Донецкая;Село
Северный автовокзал (САВ);Північний автовокзал (ПАВ);Донецк;Донецкая;Район
Северск;Сіверськ;Артемовск;Донецкая;Село
Седово;Сєдове;Новоазовск;Донецкая;Село
Седово-Васильевка;Сєдово-Василівка;Новоазовск;Донецкая;Село
Селидово;Селидове;Селидово;Донецкая;Район
Семашко;Семашка;Донецк;Донецкая;Район
Сергеевка;Сергіївка;Славянск;Донецкая;Село
Сергиевка;Сергіївка;Красноармейск;Донецкая;Село
Сердитое;Сердите;Шахтарск;Донецкая;Село
Серебрянка;Серебрянка;Артемовск;Донецкая;Село
Сидорово;Сидорове;Славянск;Донецкая;Село
Славянск;Слов'янськ;Славянск;Донецкая;Район
Сладкое;Сладке;Марьинка;Донецкая;Село
Снежное;Сніжне;Снежное;Донецкая;Район
Советский;Совєтський;Макеевка;Донецкая;Район
Соледар;Соледар;Артемовск;Донецкая;Село
Солнцево;Сонцеве;Старобешево;Донецкая;Село
Сопино;Сопине;Новоазовск;Донецкая;Село
Софиевка;Софіївка;Краматорск;Донецкая;Село
Спартак;Спартак;Ясиноватая;Донецкая;Село
Спаско-Михайловка;Спасько-Михайлівка;Александровка;Донецкая;Село
Сребное;Срібне;Красноармейск;Донецкая;Село
Ставки;Ставки;Красный Лиман;Донецкая;Село
Старобешево;Старобешеве;Старобешево;Донецкая;Район
Староварваровка;Староварварівка;Александровка;Донецкая;Село
Старогнатовка;Старогнатівка;Тельманово;Донецкая;Село
Стародубовка;Стародубівка;Мангуш;Донецкая;Село
Староласпа;Староласпа;Тельманово;Донецкая;Село
Старомайорское;Старомайорське;Великая Новоселка;Донецкая;Село
Старомихайловка;Старомихайлівка;Марьинка;Донецкая;Село
Старомлиновка;Старомлинівка;Великая Новоселка;Донецкая;Село
Старопетровск;Старопетрівськ;Енакиево;Донецкая;Село
Старченково;Старченкове;Володарское;Донецкая;Село
Старый Караван;Старий Караван;Красный Лиман;Донецкая;Село
Старый Крым;Старий Крим;Мариуполь;Донецкая;Село
Стежковское;Стіжківське;Шахтарск;Донецкая;Село
Степано-Кринка;Степано-Кринка;Амвросиевка;Донецкая;Село
Степановка;Степанівка;Константиновка;Донецкая;Село
Степановка;Степанівка;Александровка;Донецкая;Село
Степановка;Степанівка;Шахтарск;Донецкая;Село
Степное;Степне;Амвросиевка;Донецкая;Село
Степное;Степне;Волноваха;Донецкая;Село
Степное;Степне;Марьинка;Донецкая;Село
Стила;Стила;Старобешево;Донецкая;Село
Строитель;Строїтель;Старобешево;Донецкая;Село
Суженка;Суженка;Володарское;Донецкая;Село
Сухая Балка;Суха Балка;Дзержинск;Донецкая;Село
Суховеское;Суховеське;Снежное;Донецкая;Село
Талаковка;Талаківка;Мариуполь;Донецкая;Село
Тарасовка;Тарасівка;Константиновка;Донецкая;Село
Татьяновка;Тетянівка;Славянск;Донецкая;Село
Текстильщик;Текстильщик;Донецк;Донецкая;Район
Тельманово;Тельманове;Тельманово;Донецкая;Район
Тельманово 1;Тельманове 1;Тельманово;Донецкая;Село
Терны;Терни;Красный Лиман;Донецкая;Село
Тоненькое;Тоненьке;Ясиноватая;Донецкая;Село
Топаз;Топаз;Донецк;Донецкая;Район
Тополиное;Тополине;Володарское;Донецкая;Село
Торез;Торез;Торез;Донецкая;Район
Торское;Торське;Константиновка;Донецкая;Село
Торское;Торське;Красный Лиман;Донецкая;Село
Троицко-Харцизск;Троїцько-Харцизьк;Харцызск;Донецкая;Село
Трудовский;Трудовський;Донецк;Донецкая;Район
Труженка;Труженка;Володарское;Донецкая;Село
Углегорск;Вуглегірськ;Енакиево;Донецкая;Село
Угляр;Вугляр;Макеевка;Донецкая;Село
Удачное;Удачне;Красноармейск;Донецкая;Село
Украинск;Українськ;Селидово;Донецкая;Село
Улакли;Улакли;Великая Новоселка;Донецкая;Село
Ульяновка;Улянівка;Красноармейск;Донецкая;Село
Ульяновское;Улянівське;Амвросиевка;Донецкая;Село
Урзуф;Урзуф;Мангуш;Донецкая;Село
Урожайное;Урожайне;Великая Новоселка;Донецкая;Село
Успенка;Успенка;Амвросиевка;Донецкая;Село
Успеновка;Успенівка;Красноармейск;Донецкая;Село
Успеновка;Успенівка;Марьинка;Донецкая;Село
Федоровка;Федорівка;Володарское;Донецкая;Село
Харцызск;Харцизьк;Харцызск;Донецкая;Район
Хлебодаровка;Хлібодарівка;Волноваха;Донецкая;Село
Хомутово;Хомутове;Новоазовск;Донецкая;Село
Хрестище;Хрестище;Славянск;Донецкая;Село
Цветочный;Квітковий;Донецк;Донецкая;Район
Центр;Центр;Макеевка;Донецкая;Район
Центр;Центр;Донецк;Донецкая;Район
Центр;Центр;Славянск;Донецкая;Район
Центрально-Городской;Центрально-Міський;Макеевка;Донецкая;Район
Центрально-Городской;Центрально-Міський;Горловка;Донецкая;Район
Центральный рынок;Центральний ринок;Славянск;Донецкая;Район
Цикифорово;Цікіфорово;Снежное;Донецкая;Село
Цирк;Цирк;Донецк;Донецкая;Район
Цукуриное;Цукурине;Селидово;Донецкая;Село
Часов Яр;Часів Яр;Артемовск;Донецкая;Село
Червоная Украина;Червона Україна;Мангуш;Донецкая;Село
Червоногвардейский;Червоногвардійський;Макеевка;Донецкая;Район
Черкасское;Черкаське;Славянск;Донецкая;Село
Чермалик;Чермалик;Тельманово;Донецкая;Село
Шабельковка;Шабельківка;Краматорск;Донецкая;Село
Шандриголовое;Шандриголове;Красный Лиман;Донецкая;Село
Шахтарск;Шахтарськ;Шахтарск;Донецкая;Район
Шахтарское;Шахтарське;Великая Новоселка;Донецкая;Село
Шахтное;Шахтне;Харцызск;Донецкая;Село
Шевченко;Шевченко;Великая Новоселка;Донецкая;Село
Шевченко;Шевченко;Володарское;Донецкая;Село
Шевченко;Шевченко;Доброполье;Донецкая;Село
Шевченко;Шевченко;Красноармейск;Донецкая;Село
Шевченко;Шевченко;Тельманово;Донецкая;Село
Шестаковка;Шестаківка;Александровка;Донецкая;Село
Шиловка;Шилівка;Доброполье;Донецкая;Село
Широкий;Широкий;Донецк;Донецкая;Район
Широкино;Широкине;Новоазовск;Донецкая;Село
Широкое;Широке;Харцызск;Донецкая;Село
Щебенка;Щебенка;Енакиево;Донецкая;Село
Щербиновка;Щербинівка;Дзержинск;Донецкая;Село
Щурово;Щурове;Красный Лиман;Донецкая;Село
Южэлектросетьстрой;Південноелектробуд;Донецк;Донецкая;Район
Юнокоммунаровск;Юнокомунарівськ;Енакиево;Донецкая;Село
Юрьевка;Юр'ївка;Мангуш;Донецкая;Село
Яблоновка;Яблунівка;Константиновка;Донецкая;Село
Яковлевка;Яковлівка;Артемовск;Донецкая;Село
Яковлевка;Яковлівка;Ясиноватая;Донецкая;Село
Ялта;Ялта;Мангуш;Донецкая;Село
Ямполь;Ямпіль;Красный Лиман;Донецкая;Село
Яровая;Ярова;Красный Лиман;Донецкая;Село
Ясиноватая;Ясинувата;Ясиноватая;Донецкая;Район
Ясиновка;Ясинівка;Макеевка;Донецкая;Село
Ясная Поляна;Ясна Поляна;Краматорск;Донецкая;Село
Ясногорка;Ясногірка;Краматорск;Донецкая;Село
Ясное;Ясне;Волноваха;Донецкая;Село
Яцьковка;Яцьківка;Красный Лиман;Донецкая;Село
Авратин;Авратин;Любар;Житомирская;Село
Агатьевка;Агатівка;Бердичев;Житомирская;Село
Агеевка;Огіївка;Ружин;Житомирская;Село
Александровка;Олександрівка;Новоград-Волынский;Житомирская;Село
Андреевичи;Андрієвичі;Емильчино;Житомирская;Село
Андреевка;Андріївка;Червоноармейск;Житомирская;Село
Андреевка;Андріївка;Черняхов;Житомирская;Село
Андрияшевка;Андріяшівка;Бердичев;Житомирская;Село
Андрушевка;Андрушівка;Андрушевка;Житомирская;Район
Андрушки;Андрушки;Попельня;Житомирская;Село
Антополь;Антопіль;Андрушевка;Житомирская;Село
Аэропорт;Аеропорт;Житомир;Житомирская;Район
Бабичевка;Бабичівка;Червоноармейск;Житомирская;Село
Бабушки;Бабушки;Чуднов;Житомирская;Село
Базар;Базар;Народичи;Житомирская;Село
Барановка;Баранівка;Барановка;Житомирская;Район
Барановка;Баранівка;Малин;Житомирская;Село
Барашевка;Барашівка;Житомир;Житомирская;Село
Барашевский;Барашевський;Житомир;Житомирская;Село
Бараши;Бараші;Емильчино;Житомирская;Село
Барвинки;Барвінки;Малин;Житомирская;Село
Барвиновка;Барвинівка;Новоград-Волынский;Житомирская;Село
Бежев;Бежів;Черняхов;Житомирская;Село
Бейзимовка;Бейзимівка;Чуднов;Житомирская;Село
Белая Криница;Біла Криниця;Радомышль;Житомирская;Село
Белиловка;Білилівка;Ружин;Житомирская;Село
Белка;Білка;Коростень;Житомирская;Село
Белка;Білка;Овруч;Житомирская;Село
Белка;Білка;Червоноармейск;Житомирская;Село
Белки;Білки;Попельня;Житомирская;Село
Белокоровичи;Білокоровичі;Олевск;Житомирская;Село
Бельковцы;Більківці;Коростышев;Житомирская;Село
Бердичев;Бердичів;Бердичев;Житомирская;Район
Березино;Березине;Малин;Житомирская;Село
Березино;Березине;Житомир;Житомирская;Село
Березка;Берізка;Черняхов;Житомирская;Село
Березники;Березники;Емильчино;Житомирская;Село
Березовая Гать;Березова Гать;Червоноармейск;Житомирская;Село
Березовка;Березівка;Емильчино;Житомирская;Село
Березовка;Березівка;Житомир;Житомирская;Село
Березовка;Березівка;Любар;Житомирская;Село
Березовский;Березовський;Житомир;Житомирская;Село
Березянка;Березянка;Ружин;Житомирская;Село
Берестовец;Берестовець;Коростень;Житомирская;Село
Берестовка;Берестівка;Барановка;Житомирская;Село
Беспечная;Безпечна;Чуднов;Житомирская;Село
Бехи;Бехи;Коростень;Житомирская;Село
Бигунь;Бігунь;Овруч;Житомирская;Село
Бичевая;Бичева;Любар;Житомирская;Село
Бобрица;Бобриця;Емильчино;Житомирская;Село
Бобровский;Бобровський;Житомир;Житомирская;Село
Бовсуны;Бовсуни;Лугины;Житомирская;Село
Богдановка;Богданівка;Житомир;Житомирская;Село
Богуния;Богунія;Житомир;Житомирская;Район
Болотница;Болотниця;Народичи;Житомирская;Село
Болярка;Болярка;Емильчино;Житомирская;Село
Болярка;Болярка;Житомир;Житомирская;Село
Бондари;Бондарі;Овруч;Житомирская;Село
Бондаровка;Бондарівка;Коростень;Житомирская;Село
Бондаровка;Бондарівка;Овруч;Житомирская;Село
Бондарцы;Бондарці;Житомир;Житомирская;Село
Борисовка;Борисівка;Новоград-Волынский;Житомирская;Село
Борушковцы;Борушківці;Любар;Житомирская;Село
Борщев;Борщів;Радомышль;Житомирская;Село
Браженка;Браженка;Черняхов;Житомирская;Село
Бровки Вторые;Бровки Другі;Андрушевка;Житомирская;Село
Бровки Первые;Бровки Перші;Андрушевка;Житомирская;Село
Броники;Броники;Новоград-Волынский;Житомирская;Село
Броницкая Гута;Броницька Гута;Новоград-Волынский;Житомирская;Село
Брусилов;Брусилів;Брусилов;Житомирская;Район
Будичаны;Будичани;Чуднов;Житомирская;Село
Будо-Бобрица;Будо-Бобриця;Емильчино;Житомирская;Село
Будо-Воробьи;Будо-Вороб'ї;Малин;Житомирская;Село
Будо-Литки;Будо-Літки;Лугины;Житомирская;Село
Буймир;Буймир;Житомир;Житомирская;Село
Буки;Буки;Житомир;Житомирская;Село
Буки;Буки;Малин;Житомирская;Село
Булдичев;Булдичів;Романов;Житомирская;Село
Бумажная фабрика;Паперова фабрика;Житомир;Житомирская;Район
Бурковцы;Бурківці;Чуднов;Житомирская;Село
Буряки;Буряки;Бердичев;Житомирская;Село
Бучманы;Бучмани;Олевск;Житомирская;Село
Быковка;Биківка;Романов;Житомирская;Село
Быстреевка;Бистріївка;Ружин;Житомирская;Село
Быстри;Бистрі;Житомир;Житомирская;Село
Быстрик;Бистрик;Бердичев;Житомирская;Село
Быстрик;Бистрик;Ружин;Житомирская;Село
Вакуленчук;Вакуленчук;Чуднов;Житомирская;Село
Варваровка;Варварівка;Емильчино;Житомирская;Село
Васильевка;Василівка;Житомир;Житомирская;Село
Васильевка;Василівка;Попельня;Житомирская;Село
Васковичи;Васьковичі;Коростень;Житомирская;Село
Велидники;Велідники;Овруч;Житомирская;Село
Великая Волица;Велика Волиця;Любар;Житомирская;Село
Великая Глумча;Велика Глумча;Емильчино;Житомирская;Село
Великая Горбаша;Велика Горбаша;Новоград-Волынский;Житомирская;Село
Великая Горбаша;Велика Горбаша;Черняхов;Житомирская;Село
Великая Деражная;Велика Деражня;Новоград-Волынский;Житомирская;Село
Великая Козара;Велика Козара;Романов;Житомирская;Село
Великая Пятигорка;Велика П'ятигірка;Бердичев;Житомирская;Село
Великая Рача;Велика Рача;Радомышль;Житомирская;Село
Великая Фосня;Велика Фосня;Овруч;Житомирская;Село
Великая Хайча;Велика Хайча;Овруч;Житомирская;Село
Великая Цвиля;Велика Цвіля;Емильчино;Житомирская;Село
Великая Черниговка;Велика Чернігівка;Овруч;Житомирская;Село
Великие Деревичи;Великі Деревичі;Любар;Житомирская;Село
Великие Клещи;Великі Кліщі;Народичи;Житомирская;Село
Великие Коровинцы;Великі Коровинці;Чуднов;Житомирская;Село
Великие Кошарища;Великі Кошарища;Коростышев;Житомирская;Село
Великие Мошковцы;Великі Мошківці;Андрушевка;Житомирская;Село
Великие Низгорцы;Великі Низгірці;Бердичев;Житомирская;Село
Великий Браталов;Великий Браталів;Любар;Житомирская;Село
Великий Дивлин;Великий Дивлин;Лугины;Житомирская;Село
Великий Луг;Великий Луг;Червоноармейск;Житомирская;Село
Великий Молодьков;Великий Молодьків;Новоград-Волынский;Житомирская;Село
Великий Яблонец;Великий Яблунець;Емильчино;Житомирская;Село
Веприн;Веприн;Радомышль;Житомирская;Село
Вербовка;Вербівка;Ружин;Житомирская;Село
Веревка;Вірівка;Емильчино;Житомирская;Село
Вересы;Вереси;Житомир;Житомирская;Село
Верлок;Верлок;Радомышль;Житомирская;Село
Вертокиевка;Вертокиївка;Житомир;Житомирская;Село
Верховня;Верхівня;Ружин;Житомирская;Село
Вершина;Вершина;Житомир;Житомирская;Село
Веселка;Веселка;Любар;Житомирская;Село
Веселовка;Веселівка;Коростень;Житомирская;Село
Веснянка;Веснянка;Червоноармейск;Житомирская;Село
Вигнанка;Вигнанка;Любар;Житомирская;Село
Вигов;Вигів;Коростень;Житомирская;Село
Видибор;Видибор;Черняхов;Житомирская;Село
Визня;Візня;Малин;Житомирская;Село
Виленка;Віленька;Коростышев;Житомирская;Село
Вильский;Вільський;Житомир;Житомирская;Село
Вильшка;Вільшка;Брусилов;Житомирская;Село
Вирля;Вірля;Барановка;Житомирская;Село
Вихля;Вихля;Радомышль;Житомирская;Село
Вишевичи;Вишевичі;Радомышль;Житомирская;Село
Вишневое;Вишневе;Ружин;Житомирская;Село
Вишневое;Вишневе;Житомир;Житомирская;Село
Вишов;Вишів;Малин;Житомирская;Село
Вишполь;Вишпіль;Черняхов;Житомирская;Село
Владовка;Владівка;Малин;Житомирская;Село
Водотий;Водотиї;Брусилов;Житомирская;Село
Вокзал;Вокзал;Житомир;Житомирская;Район
Волица;Волиця;Андрушевка;Житомирская;Село
Волица;Волиця;Житомир;Житомирская;Село
Володарск-Волынский;Володарськ-Волинський;Володарск-Волынский;Житомирская;Район
Волосов;Волосів;Андрушевка;Житомирская;Село
Волосовка;Волосівка;Чуднов;Житомирская;Село
Вольная;Вільня;Коростышев;Житомирская;Село
Вольнополье;Вільнопілля;Ружин;Житомирская;Село
Вольнянка;Вільнянка;Коростышев;Житомирская;Село
Вольск;Вільськ;Черняхов;Житомирская;Село
Волянщина;Волянщина;Володарск-Волынский;Житомирская;Село
Ворсовка;Ворсівка;Малин;Житомирская;Село
Врублёвка;Врублівка;Романов;Житомирская;Село
Вчерайше;Вчорайше;Ружин;Житомирская;Село
Выгода;Вигода;Житомир;Житомирская;Село
Вырва;Вирва;Радомышль;Житомирская;Село
Высокая Печь;Висока Піч;Житомир;Житомирская;Село
Высокое;Високе;Брусилов;Житомирская;Село
Высокое;Високе;Черняхов;Житомирская;Село
Выступовичи;Виступовичі;Овруч;Житомирская;Село
Вьюнки;В'юнки;Червоноармейск;Житомирская;Село
Вязовка;В'язівка;Народичи;Житомирская;Село
Гадзинка;Гадзинка;Житомир;Житомирская;Село
Гай;Гай;Житомир;Житомирская;Село
Галиевка;Галіївка;Чуднов;Житомирская;Село
Гальчин;Гальчин;Андрушевка;Житомирская;Село
Гальчин;Гальчин;Бердичев;Житомирская;Село
Гамарня;Гамарня;Малин;Житомирская;Село
Ганнополь;Ганнопіль;Емильчино;Житомирская;Село
Гараповка;Гарапівка;Андрушевка;Житомирская;Село
Гардишовка;Гардишівка;Бердичев;Житомирская;Село
Гизивщина;Гізівщина;Любар;Житомирская;Село
Гладковичи;Гладковичі;Овруч;Житомирская;Село
Глезное;Глезне;Любар;Житомирская;Село
Глибочок;Глибочок;Барановка;Житомирская;Село
Глиновцы;Глинівці;Андрушевка;Житомирская;Село
Глубочица;Глибочиця;Житомир;Житомирская;Пригород
Глубочок;Глибочок;Житомир;Житомирская;Село
Годиха;Годиха;Романов;Житомирская;Село
Головенка;Головенка;Житомир;Житомирская;Село
Головино;Головине;Черняхов;Житомирская;Село
Головки;Головки;Малин;Житомирская;Село
Голубиевичи;Голубієвичі;Народичи;Житомирская;Село
Голубовка;Голубівка;Ружин;Житомирская;Село
Голубятин;Голуб'ятин;Попельня;Житомирская;Село
Горбулов;Горбулів;Черняхов;Житомирская;Село
Гордеевка;Гордіївка;Романов;Житомирская;Село
Горинь;Горинь;Малин;Житомирская;Село
Горки;Гірки;Новоград-Волынский;Житомирская;Село
Гормолзавод;Гормолзавод;Житомир;Житомирская;Район
Городец;Городець;Овруч;Житомирская;Село
Городище;Городище;Черняхов;Житомирская;Село
Городковка;Городківка;Андрушевка;Житомирская;Село
Городница;Городниця;Новоград-Волынский;Житомирская;Село
Городок;Городок;Ружин;Житомирская;Село
Городское;Городське;Коростышев;Житомирская;Село
Городыще;Городище;Житомир;Житомирская;Село
Горопаи;Горопаї;Любар;Житомирская;Село
Горщик;Горщик;Коростень;Житомирская;Село
Гошов;Гошів;Овруч;Житомирская;Село
Грабовка;Грабівка;Житомир;Житомирская;Село
Гранитное;Гранітне;Малин;Житомирская;Село
Гриновцы;Гринівці;Любар;Житомирская;Село
Гришковцы;Гришківці;Бердичев;Житомирская;Село
Грозное;Грозине;Коростень;Житомирская;Село
Громада;Громада;Любар;Житомирская;Село
Грубское;Грубське;Коростышев;Житомирская;Село
Грузливец;Грузливець;Червоноармейск;Житомирская;Село
Грушки;Грушки;Володарск-Волынский;Житомирская;Село
Гуйва;Гуйва;Житомир;Житомирская;Село
Гульск;Гульськ;Новоград-Волынский;Житомирская;Село
Гулянка;Гулянка;Коростень;Житомирская;Село
Гуменники;Гуменники;Коростышев;Житомирская;Село
Гуска;Гуска;Малин;Житомирская;Село
Гута-Заболоцкая;Гута-Забілоцька;Радомышль;Житомирская;Село
Гута-Потиевка;Гута-Потіївка;Радомышль;Житомирская;Село
Гуто-Марьятин;Гуто-Мар'ятин;Народичи;Житомирская;Село
Давыдки;Давидки;Коростень;Житомирская;Село
Давыдовка;Давидівка;Володарск-Волынский;Житомирская;Село
Давыдовка;Давидівка;Житомир;Житомирская;Село
Давыдовский;Давидівський;Житомир;Житомирская;Село
Дашинка;Дашинка;Володарск-Волынский;Житомирская;Село
Дворец;Двірець;Житомир;Житомирская;Село
Дворище;Дворище;Володарск-Волынский;Житомирская;Село
Девочки;Дівочки;Черняхов;Житомирская;Село
Дедковичи;Дідковичі;Коростень;Житомирская;Село
Дедковцы;Дідківці;Чуднов;Житомирская;Село
Дедовичи;Дідовичі;Новоград-Волынский;Житомирская;Село
Демчин;Демчин;Бердичев;Житомирская;Село
Деныши;Дениші;Житомир;Житомирская;Село
Дергановка;Дерганівка;Ружин;Житомирская;Село
Дертка;Дертка;Романов;Житомирская;Село
Диброва;Діброва;Коростень;Житомирская;Село
Диброва;Діброва;Малин;Житомирская;Село
Диброва;Діброва;Олевск;Житомирская;Село
Дибровка;Дібрівка;Барановка;Житомирская;Село
Дибровка;Дібрівка;Чуднов;Житомирская;Село
Дивин;Дивин;Брусилов;Житомирская;Село
Дитинец;Дітинець;Радомышль;Житомирская;Село
Добринь;Добринь;Володарск-Волынский;Житомирская;Село
Довбыш;Довбиш;Барановка;Житомирская;Село
Довжик;Довжик;Житомир;Житомирская;Пригород
Долгий Лiс;Довгий Ліс;Народичи;Житомирская;Село
Домолочь;Домолоч;Коростень;Житомирская;Село
Дриглов;Дриглів;Чуднов;Житомирская;Село
Дружба;Дружба;Олевск;Житомирская;Село
Дубище;Дубище;Чуднов;Житомирская;Село
Дублинки;Дублинки;Новоград-Волынский;Житомирская;Село
Дубники;Дубники;Новоград-Волынский;Житомирская;Село
Дубовец;Дубовець;Житомир;Житомирская;Село
Дубовка;Дубівка;Бердичев;Житомирская;Село
Дубровка;Дубрівка;Барановка;Житомирская;Село
Елизаветовка;Єлизаветівка;Коростышев;Житомирская;Село
Елковка;Ялинівка;Червоноармейск;Житомирская;Село
Емильчино;Ємільчине;Емильчино;Житомирская;Район
Ерчики;Єрчики;Попельня;Житомирская;Село
Жадьки;Жадьки;Черняхов;Житомирская;Село
Жары;Жари;Барановка;Житомирская;Село
Жеребиловка;Жеребилівка;Новоград-Волынский;Житомирская;Село
Жеребки;Жеребки;Чуднов;Житомирская;Село
Жеревцы;Жеревці;Лугины;Житомирская;Село
Житний рынок;Житній ринок;Житомир;Житомирская;Район
Жовтневое;Жовтневе;Лугины;Житомирская;Село
Жовтневое;Жовтневе;Олевск;Житомирская;Село
Жовтневое;Жовтневе;Попельня;Житомирская;Село
Жовтневое;Жовтневе;Ружин;Житомирская;Село
Жовтновка;Жовтнівка;Володарск-Волынский;Житомирская;Село
Жолобное;Жолобне;Новоград-Волынский;Житомирская;Село
Жубровичи;Жубровичі;Олевск;Житомирская;Село
Журба;Журба;Овруч;Житомирская;Село
Журжевичи;Журжевичі;Олевск;Житомирская;Село
Забара;Забара;Андрушевка;Житомирская;Село
Заболоть;Заболоть;Радомышль;Житомирская;Село
Заболочье;Забілоччя;Радомышль;Житомирская;Село
Забродье;Забріддя;Черняхов;Житомирская;Село
Закриничье;Закриниччя;Барановка;Житомирская;Село
Закусили;Закусили;Народичи;Житомирская;Село
Закутинцы;Закутинці;Бердичев;Житомирская;Село
Залесье;Залісся;Народичи;Житомирская;Село
Зализня;Залізня;Житомир;Житомирская;Село
Заможное;Заможне;Житомир;Житомирская;Село
Замысловичи;Замисловичі;Олевск;Житомирская;Село
Заньки;Заньки;Радомышль;Житомирская;Село
Заречаны;Зарічани;Житомир;Житомирская;Пригород
Заречье;Заріччя;Ружин;Житомирская;Село
Заречье;Заріччя;Овруч;Житомирская;Село
Зарубинцы;Зарубинці;Андрушевка;Житомирская;Село
Зарудинцы;Зарудинці;Ружин;Житомирская;Село
Затышне;Затишне;Житомир;Житомирская;Село
Звездаль;Звіздаль;Народичи;Житомирская;Село
Зеленая Поляна;Зелена Поляна;Червоноармейск;Житомирская;Село
Зеленица;Зелениця;Емильчино;Житомирская;Село
Зелёный Гай;Зелений Гай;Барановка;Житомирская;Село
Зелёный Гай;Зелений Гай;Малин;Житомирская;Село
Зеремля;Зеремля;Барановка;Житомирская;Село
Злобичи;Злобичі;Коростень;Житомирская;Село
Зольня;Зольня;Олевск;Житомирская;Село
Зороков;Зороків;Черняхов;Житомирская;Село
Зоряное;Зоряне;Ружин;Житомирская;Село
Зубковичи;Зубковичі;Олевск;Житомирская;Село
Зубринка;Зубринка;Володарск-Волынский;Житомирская;Село
Зыбин;Зибін;Малин;Житомирская;Село
Иванков;Іванків;Андрушевка;Житомирская;Село
Иванковцы;Іванківці;Бердичев;Житомирская;Село
Иванковцы;Іванківці;Любар;Житомирская;Село
Ивановичи;Івановичі;Червоноармейск;Житомирская;Село
Ивановка;Іванівка;Житомир;Житомирская;Пригород
Ивановка;Іванівка;Коростень;Житомирская;Село
Ивановка;Іванівка;Малин;Житомирская;Село
